"filename", "language", "PostCSS", "JavaScript JSX", "XML", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left black.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left white.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow left yellow.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right black.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right white.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow right yellow.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\arrow top.svg", "XML", 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\bulletDot.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\gmail logo clicked.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\rasmu\OneDrive\Desktop\Projektid\Eesti liputoimkondade veebisait\ell.ee\src\General\Design Elements\gmail logo.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 1
